datetime,CZCE.TA005.open,CZCE.TA005.high,CZCE.TA005.low,CZCE.TA005.close,CZCE.TA005.volume,CZCE.TA005.open_oi,CZCE.TA005.close_oi
2019-11-22 22:26:00.000000000,4804.0,4806.0,4804.0,4806.0,134,595038,595030
2019-11-22 22:27:00.000000000,4806.0,4808.0,4806.0,4808.0,134,595030,595044
2019-11-22 22:28:00.000000000,4808.0,4808.0,4806.0,4806.0,86,595044,595078
2019-11-22 22:29:00.000000000,4806.0,4808.0,4806.0,4806.0,138,595078,595116
2019-11-22 22:30:00.000000000,4806.0,4806.0,4804.0,4804.0,194,595116,595156
2019-11-22 22:31:00.000000000,4804.0,4804.0,4798.0,4800.0,3048,595156,597038
2019-11-22 22:32:00.000000000,4800.0,4800.0,4798.0,4800.0,300,597038,596912
2019-11-22 22:33:00.000000000,4800.0,4802.0,4800.0,4800.0,36,596912,596914
2019-11-22 22:34:00.000000000,4800.0,4802.0,4800.0,4802.0,354,596914,596894
2019-11-22 22:35:00.000000000,4802.0,4802.0,4800.0,4802.0,62,596894,596948
2019-11-22 22:36:00.000000000,4802.0,4802.0,4800.0,4802.0,272,596948,596974
2019-11-22 22:37:00.000000000,4802.0,4804.0,4802.0,4804.0,14,596974,596962
2019-11-22 22:38:00.000000000,4804.0,4804.0,4800.0,4800.0,406,596962,596916
2019-11-22 22:39:00.000000000,4800.0,4802.0,4800.0,4800.0,148,596916,596902
2019-11-22 22:40:00.000000000,4800.0,4800.0,4796.0,4798.0,1102,596902,596956
2019-11-22 22:41:00.000000000,4798.0,4800.0,4798.0,4798.0,122,596956,596946
2019-11-22 22:42:00.000000000,4798.0,4798.0,4798.0,4798.0,84,596946,596958
2019-11-22 22:43:00.000000000,4798.0,4798.0,4794.0,4798.0,544,596958,597100
2019-11-22 22:44:00.000000000,4798.0,4798.0,4796.0,4798.0,22,597100,597102
2019-11-22 22:45:00.000000000,4798.0,4798.0,4796.0,4796.0,96,597102,597154
2019-11-22 22:46:00.000000000,4796.0,4798.0,4796.0,4798.0,66,597154,597154
