datetime,DCE.l2001.open,DCE.l2001.high,DCE.l2001.low,DCE.l2001.close,DCE.l2001.volume,DCE.l2001.open_oi,DCE.l2001.close_oi
2019-10-09 09:55:00.000000000,7395.0,7400.0,7395.0,7400.0,118,636558,636598
2019-10-09 09:56:00.000000000,7400.0,7400.0,7395.0,7400.0,1478,636598,636208
2019-10-09 09:57:00.000000000,7400.0,7400.0,7395.0,7400.0,442,636208,636174
2019-10-09 09:58:00.000000000,7400.0,7400.0,7395.0,7395.0,174,636174,636204
2019-10-09 09:59:00.000000000,7395.0,7400.0,7395.0,7395.0,736,636204,636490
2019-10-09 10:00:00.000000000,7395.0,7395.0,7390.0,7395.0,806,636490,636378
2019-10-09 10:01:00.000000000,7395.0,7395.0,7390.0,7395.0,2456,636378,635898
2019-10-09 10:02:00.000000000,7395.0,7400.0,7390.0,7400.0,638,635898,635654
2019-10-09 10:03:00.000000000,7400.0,7400.0,7395.0,7400.0,44,635654,635646
2019-10-09 10:04:00.000000000,7400.0,7400.0,7395.0,7395.0,82,635646,635634
2019-10-09 10:05:00.000000000,7395.0,7400.0,7395.0,7400.0,558,635634,635472
2019-10-09 10:06:00.000000000,7400.0,7400.0,7395.0,7395.0,160,635472,635546
2019-10-09 10:07:00.000000000,7395.0,7400.0,7395.0,7395.0,1086,635546,635202
2019-10-09 10:08:00.000000000,7395.0,7400.0,7390.0,7395.0,1104,635202,635020
2019-10-09 10:09:00.000000000,7395.0,7400.0,7395.0,7395.0,1126,635020,634850
2019-10-09 10:10:00.000000000,7395.0,7400.0,7395.0,7395.0,26,634850,634852
2019-10-09 10:11:00.000000000,7395.0,7400.0,7395.0,7400.0,1854,634852,634110
2019-10-09 10:12:00.000000000,7400.0,7405.0,7400.0,7405.0,510,634110,634304
2019-10-09 10:13:00.000000000,7405.0,7405.0,7400.0,7405.0,116,634304,634238
2019-10-09 10:14:00.000000000,7405.0,7405.0,7400.0,7400.0,270,634238,634178
2019-10-09 10:30:00.000000000,7405.0,7410.0,7400.0,7410.0,3644,634178,633446
2019-10-09 10:31:00.000000000,7410.0,7415.0,7400.0,7415.0,4512,633446,631960
2019-10-09 10:32:00.000000000,7415.0,7415.0,7410.0,7415.0,1532,631960,631422
2019-10-09 10:33:00.000000000,7415.0,7415.0,7405.0,7410.0,1204,631422,630816
2019-10-09 10:34:00.000000000,7410.0,7410.0,7405.0,7410.0,216,630816,630782
2019-10-09 10:35:00.000000000,7410.0,7410.0,7405.0,7405.0,68,630782,630786
2019-10-09 10:36:00.000000000,7405.0,7405.0,7405.0,7405.0,32,630786,630774
2019-10-09 10:37:00.000000000,7405.0,7410.0,7405.0,7410.0,160,630774,630838
2019-10-09 10:38:00.000000000,7410.0,7415.0,7410.0,7410.0,800,630838,631218
2019-10-09 10:39:00.000000000,7410.0,7415.0,7410.0,7415.0,322,631218,631228
2019-10-09 10:40:00.000000000,7415.0,7415.0,7410.0,7415.0,502,631228,631458
2019-10-09 10:41:00.000000000,7415.0,7420.0,7410.0,7420.0,912,631458,631536
2019-10-09 10:42:00.000000000,7420.0,7420.0,7415.0,7415.0,212,631536,631590
2019-10-09 10:43:00.000000000,7415.0,7420.0,7415.0,7415.0,146,631590,631668
2019-10-09 10:44:00.000000000,7415.0,7420.0,7410.0,7410.0,940,631668,631386
2019-10-09 10:45:00.000000000,7410.0,7415.0,7410.0,7410.0,142,631386,631308
2019-10-09 10:46:00.000000000,7410.0,7415.0,7410.0,7415.0,1602,631308,631434
2019-10-09 10:47:00.000000000,7415.0,7415.0,7405.0,7410.0,812,631434,631738
2019-10-09 10:48:00.000000000,7410.0,7410.0,7405.0,7405.0,94,631738,631748
2019-10-09 10:49:00.000000000,7405.0,7410.0,7405.0,7405.0,162,631748,631806
2019-10-09 10:50:00.000000000,7405.0,7415.0,7405.0,7410.0,646,631806,632060
2019-10-09 10:51:00.000000000,7410.0,7415.0,7410.0,7415.0,54,632060,632072
2019-10-09 10:52:00.000000000,7415.0,7415.0,7410.0,7415.0,944,632072,631814
2019-10-09 10:53:00.000000000,7415.0,7415.0,7410.0,7410.0,142,631814,631698
2019-10-09 10:54:00.000000000,7410.0,7415.0,7410.0,7410.0,378,631698,631570
2019-10-09 10:55:00.000000000,7410.0,7415.0,7405.0,7415.0,1754,631570,630924
2019-10-09 10:56:00.000000000,7415.0,7415.0,7410.0,7415.0,1164,630924,630796
2019-10-09 10:57:00.000000000,7415.0,7415.0,7405.0,7405.0,352,630796,630868
2019-10-09 10:58:00.000000000,7405.0,7410.0,7405.0,7410.0,96,630868,630904
2019-10-09 10:59:00.000000000,7410.0,7410.0,7405.0,7405.0,274,630904,631004
2019-10-09 11:00:00.000000000,7405.0,7410.0,7405.0,7410.0,102,631004,630968
2019-10-09 11:01:00.000000000,7410.0,7410.0,7405.0,7405.0,2018,630968,631280
2019-10-09 11:02:00.000000000,7405.0,7410.0,7405.0,7410.0,252,631280,631088
2019-10-09 11:03:00.000000000,7410.0,7410.0,7400.0,7405.0,314,631088,631118
2019-10-09 11:04:00.000000000,7405.0,7405.0,7400.0,7400.0,100,631118,631096
2019-10-09 11:05:00.000000000,7400.0,7405.0,7400.0,7400.0,86,631096,631128
2019-10-09 11:06:00.000000000,7400.0,7405.0,7400.0,7400.0,126,631128,631100
2019-10-09 11:07:00.000000000,7400.0,7405.0,7400.0,7400.0,92,631100,631144
2019-10-09 11:08:00.000000000,7400.0,7405.0,7400.0,7400.0,168,631144,631114
2019-10-09 11:09:00.000000000,7400.0,7405.0,7400.0,7405.0,1166,631114,631390
2019-10-09 11:10:00.000000000,7405.0,7410.0,7405.0,7405.0,86,631390,631412
2019-10-09 11:11:00.000000000,7405.0,7410.0,7405.0,7405.0,144,631412,631312
2019-10-09 11:12:00.000000000,7405.0,7405.0,7400.0,7405.0,1916,631312,631404
2019-10-09 11:13:00.000000000,7405.0,7405.0,7400.0,7405.0,232,631404,631368
2019-10-09 11:14:00.000000000,7405.0,7405.0,7400.0,7400.0,190,631368,631330
2019-10-09 11:15:00.000000000,7400.0,7410.0,7400.0,7410.0,726,631330,631510
2019-10-09 11:16:00.000000000,7410.0,7410.0,7405.0,7410.0,584,631510,631650
2019-10-09 11:17:00.000000000,7410.0,7410.0,7405.0,7410.0,314,631650,631478
2019-10-09 11:18:00.000000000,7410.0,7410.0,7405.0,7410.0,528,631478,631200
2019-10-09 11:19:00.000000000,7410.0,7410.0,7405.0,7405.0,200,631200,631284
2019-10-09 11:20:00.000000000,7405.0,7405.0,7395.0,7400.0,3806,631284,630422
2019-10-09 11:21:00.000000000,7400.0,7400.0,7390.0,7400.0,4276,630422,630166
2019-10-09 11:22:00.000000000,7400.0,7400.0,7390.0,7390.0,3722,630166,629518
2019-10-09 11:23:00.000000000,7390.0,7395.0,7390.0,7395.0,1024,629518,629390
2019-10-09 11:24:00.000000000,7395.0,7400.0,7395.0,7400.0,866,629390,629112
2019-10-09 11:25:00.000000000,7400.0,7400.0,7395.0,7395.0,376,629112,629204
2019-10-09 11:26:00.000000000,7395.0,7395.0,7395.0,7395.0,114,629204,629162
